#Frame         mn_hd1       mn_hd2       mn_hd3
     719       2.2670       2.2898       2.1793
     720       2.2815       2.3749       2.3327
     721       2.1885       2.1387       2.1540
     722       2.4821       2.2922       2.3307
     723       2.3502       2.2311       2.1563
     724       2.3884       2.3432       2.1779
     725       2.5078       2.2739       2.2840
     726       2.2919       2.1659       2.2453
     727       2.3147       2.2154       2.2793
     728       2.4064       2.2932       2.2058
     729       2.3459       2.1513       2.1743
     730       2.4494       2.2335       2.1947
     731       2.1673       2.2237       2.2560
     732       2.3093       2.3506       2.2889
     733       2.3167       2.0916       2.1857
     734       2.2330       2.3223       2.2273
     735       2.2732       2.3446       2.2454
     736       2.0953       2.2715       2.2907
     737       2.5483       2.2874       2.2122
     738       2.4864       2.0860       2.1818
     739       2.2946       2.2887       2.1455
     740       2.3074       2.3771       2.1394
     741       2.2565       2.2005       2.2145
     742       2.4593       2.1738       2.4076
     743       2.1527       2.1670       2.1036
     744       2.0173       2.3419       2.2587
     745       2.2521       2.1657       2.2903
     746       2.3657       2.1402       2.0453
     747       2.4164       2.3127       2.1924
     748       2.5050       2.1589       2.2776
     749       2.4206       2.1708       2.2713
     750       2.4183       2.2461       2.2768
     751       2.4008       2.3242       2.3370
     752       2.4178       2.4743       2.1737
     753       2.2331       2.3016       2.2472
     754       2.3671       2.3314       2.1121
     755       2.3268       2.1557       2.3098
     756       2.2637       2.2967       2.3737
     757       2.2024       2.3494       2.2643
     758       2.3035       2.1350       2.0879
     759       2.5155       2.1121       2.2734
     760       2.5894       2.1445       2.1777
     761       2.3448       2.2381       2.1266
     762       2.4220       2.2200       2.2225
     763       2.2243       2.3736       2.1903
     764       2.4469       2.1511       2.0945
     765       2.4506       2.2368       2.3931
     766       2.3527       2.1985       2.0664
     767       2.6127       2.0746       2.2700
     768       2.2202       2.1007       2.1911
     769       2.4305       2.2933       2.1831
     770       2.3660       2.2144       2.1514
