#Frame      Mn1_Ox_OZ    Mn1_Ox_OY    Mn1_Ox_OX
     557       2.0081       4.0256       2.3036
     558       2.2127       4.1272       2.4950
     559       2.1579       4.1631       2.4132
     560       2.0862       4.0143       2.2416
     561       2.1066       4.0642       2.4071
     562       2.1263       4.0994       2.3687
     563       2.0749       4.0544       2.2192
     564       2.0621       4.0998       2.4051
     565       2.1083       4.1207       2.3881
     566       2.0787       4.0760       2.3450
     567       1.9704       4.0085       2.2600
     568       2.1013       4.0780       2.2077
     569       2.0644       4.0963       2.3737
     570       2.1254       4.1066       2.4725
     571       2.1072       4.0896       2.3899
     572       2.1528       4.1461       2.3334
     573       2.1192       4.0894       2.3753
     574       2.1511       4.0904       2.3814
     575       2.0358       3.9315       2.3790
     576       2.1231       4.0972       2.3211
     577       1.9962       3.8823       2.2385
     578       2.0486       3.9287       2.3491
     579       2.0591       4.0621       2.2845
     580       2.0638       4.0387       2.4635
     581       1.9833       4.0515       2.3514
     582       2.0985       4.0467       2.4908
     583       2.1145       4.0607       2.3609
     584       2.0536       3.9670       2.3124
     585       2.2454       4.2382       2.4072
     586       2.1243       4.0489       2.3427
     587       2.2037       4.2043       2.4069
     588       2.0997       4.0890       2.3905
     589       2.0830       4.1085       2.4156
     590       2.0056       4.0395       2.4152
     591       2.1063       4.0829       2.5533
     592       2.0971       4.0143       2.4529
     593       2.1784       4.1675       2.3310
     594       2.0729       3.9993       2.2430
     595       2.0763       4.0375       2.2234
     596       2.1114       3.9505       2.2363
     597       2.0694       4.0008       2.3446
     598       2.1228       3.9548       2.2124
     599       2.0509       4.0753       2.2962
     600       2.1996       4.0702       2.4992
     601       2.1034       4.0011       2.2312
     602       2.1189       4.1466       2.3640
     603       2.1110       4.0301       2.1681
     604       2.0196       4.0292       2.3161
     605       1.9790       3.9424       2.2769
     606       2.0905       3.9656       2.0638
     607       2.1642       4.0682       2.2319
     608       2.0437       3.9932       2.4220
     609       1.8614       3.9357       2.3363
     610       2.0417       4.0661       2.3339
     611       2.1707       4.1494       2.3644
     612       2.1182       4.1835       2.5715
     613       2.1811       4.1932       2.2274
     614       2.0640       4.0014       2.4088
     615       2.1073       4.1027       2.4268
     616       2.1496       4.0813       2.2488
     617       2.1131       4.0137       2.3317
     618       2.1361       4.0801       2.2770
     619       2.1590       4.1116       2.3987
     620       2.0352       4.1339       2.2805
     621       2.1455       4.0615       2.2069
     622       2.0858       4.0617       2.4616
     623       2.1161       4.0446       2.4451
     624       2.0127       3.9141       2.2749
     625       2.2390       4.1466       2.3295
     626       2.1654       4.1218       2.3556
     627       2.0793       4.0010       2.3576
     628       2.0608       4.0682       2.3247
     629       2.1165       4.1467       2.3943
     630       2.1808       4.1748       2.4033
     631       2.1033       4.0657       2.3059
     632       2.0051       3.9357       2.4760
     633       2.1744       4.0296       2.2628
