#Frame            RoG     RoG[Max]
     774      24.2907      48.5668
     775      24.1126      47.1608
     776      24.1442      47.2623
     777      24.3454      47.6599
     778      24.2449      47.7367
     779      24.2978      48.0982
     780      24.1317      47.2493
     781      24.2580      47.5212
     782      24.1634      47.1201
     783      24.2533      46.9429
     784      24.1579      47.3056
     785      24.3345      47.6163
     786      24.3214      48.5566
     787      24.2241      47.8382
     788      24.3430      48.2305
     789      24.1718      47.4280
     790      24.2209      47.9228
     791      24.2951      48.7137
     792      24.2519      47.8435
     793      24.1270      46.8294
     794      24.2248      46.9929
     795      24.2018      47.9745
     796      24.2454      47.4375
     797      24.3215      48.2420
     798      24.2972      47.8075
     799      24.2815      48.0231
     800      24.2738      47.9139
     801      24.1963      47.7181
     802      24.2928      46.8335
     803      24.2325      47.5490
     804      24.1868      47.4606
     805      24.2541      47.4067
     806      24.2980      48.1252
     807      24.1828      47.1668
     808      24.2596      48.0549
     809      24.2389      47.8245
     810      24.3424      48.4483
     811      24.3475      48.0978
     812      24.3527      48.9255
     813      24.4450      49.4266
     814      24.3215      48.1171
     815      24.4895      48.8776
     816      24.4911      48.2573
     817      24.4964      48.3932
     818      24.4841      48.2141
     819      24.5902      48.1812
     820      24.4990      47.5657
     821      24.4344      47.6961
     822      24.4998      47.6272
     823      24.4440      47.9746
     824      24.5871      49.5099
     825      24.5079      48.7184
     826      24.5363      48.8835
     827      24.6112      49.5708
     828      24.5136      49.3092
     829      24.5033      49.3635
     830      24.5500      49.2482
     831      24.5501      48.8639
     832      24.5845      49.3762
     833      24.6869      49.2767
     834      24.7527      50.0898
     835      24.5552      48.3800
     836      24.5880      48.4573
     837      24.5232      48.1203
     838      24.5386      48.0728
     839      24.5650      47.9521
     840      24.5308      47.8732
     841      24.4656      48.5438
     842      24.4985      48.6548
     843      24.4532      48.4500
     844      24.4759      48.3040
     845      24.5721      48.9467
     846      24.5757      47.8913
     847      24.4255      47.8438
     848      24.3743      47.2281
     849      24.4507      47.4368
     850      24.4008      47.9338
     851      24.3925      47.0509
     852      24.4993      47.8529
     853      24.3740      47.0496
     854      24.4213      47.4195
     855      24.4817      48.4471
     856      24.5617      47.7963
     857      24.6614      48.8470
     858      24.5327      48.7542
     859      24.4772      48.0906
     860      24.4766      48.1984
     861      24.4518      48.0207
     862      24.3835      48.3855
     863      24.2943      48.1396
     864      24.4551      48.5742
     865      24.4388      48.6189
     866      24.4841      49.4677
     867      24.4149      49.9971
     868      24.4322      48.8117
     869      24.4846      50.1304
     870      24.3635      48.8307
     871      24.3452      48.7308
     872      24.4256      48.6973
     873      24.3838      48.0475
     874      24.5288      48.7691
     875      24.4735      47.9282
     876      24.4968      48.3399
     877      24.3621      47.8471
     878      24.4174      48.0704
     879      24.3840      47.9256
     880      24.3758      48.1660
     881      24.5153      48.3162
     882      24.4557      48.8684
     883      24.4845      48.9687
     884      24.4573      49.1112
     885      24.3359      48.2610
     886      24.3346      47.7513
     887      24.3361      48.5606
     888      24.4280      49.2110
     889      24.4108      49.0796
     890      24.5965      49.8063
     891      24.4822      49.4314
     892      24.4501      49.0695
     893      24.3062      47.5135
     894      24.2375      47.5074
     895      24.4431      48.5268
     896      24.4012      48.0570
     897      24.2479      47.7154
     898      24.3710      47.9192
     899      24.4663      48.1384
     900      24.4574      48.3985
     901      24.5440      49.5814
     902      24.5185      49.0145
     903      24.4832      48.8247
     904      24.4655      48.5850
     905      24.3483      48.1628
     906      24.3886      49.0032
     907      24.3998      48.5196
     908      24.4763      49.3413
     909      24.4336      48.4697
     910      24.5822      49.1618
     911      24.4638      48.4617
     912      24.4097      48.5588
     913      24.4294      47.5267
     914      24.3425      47.7212
     915      24.4549      48.0505
     916      24.4544      48.5434
     917      24.3901      47.9877
     918      24.2723      47.7707
     919      24.4095      48.3490
     920      24.2382      47.0655
     921      24.2307      46.9909
     922      24.2625      47.4464
     923      24.2881      48.1490
     924      24.3894      48.6061
     925      24.3444      48.6038
     926      24.3729      48.6823
     927      24.3569      48.9611
     928      24.4168      48.2595
     929      24.2658      48.3770
     930      24.4521      48.3878
     931      24.4176      47.6843
     932      24.2950      47.5168
     933      24.3480      47.9425
     934      24.4525      49.7993
     935      24.5199      49.3694
     936      24.5283      49.7953
     937      24.4541      49.1623
     938      24.5466      49.2743
     939      24.5381      49.7147
     940      24.4477      49.5611
     941      24.5333      49.7112
     942      24.5724      49.9420
     943      24.6786      49.9282
     944      24.7525      50.4158
     945      24.5585      50.3802
     946      24.3818      49.3445
     947      24.4096      48.1882
     948      24.3370      48.1564
     949      24.4922      49.2572
     950      24.4419      49.3484
     951      24.4001      47.8612
     952      24.5089      48.7244
     953      24.4608      48.8020
     954      24.1904      47.4620
     955      24.4484      48.8844
     956      24.4107      48.4844
     957      24.3435      47.5612
     958      24.3328      48.0767
     959      24.2505      47.2966
     960      24.3023      47.1827
     961      24.3572      47.6303
     962      24.4322      47.7868
     963      24.4382      48.5411
     964      24.5009      48.1461
     965      24.5516      48.6543
     966      24.4733      48.6343
     967      24.5811      49.3887
     968      24.6347      49.6203
     969      24.5459      48.9851
     970      24.4798      48.5957
     971      24.4224      47.9279
     972      24.4882      47.9127
     973      24.4228      48.2379
     974      24.3171      47.3197
     975      24.4386      48.6266
     976      24.3582      48.7058
     977      24.4147      49.6125
     978      24.3977      48.9527
     979      24.4796      48.7157
     980      24.4567      48.1890
     981      24.3814      48.8853
     982      24.4932      48.5731
     983      24.6425      49.4132
     984      24.6920      49.9340
     985      24.6783      49.8473
     986      24.5981      49.2150
     987      24.4676      48.8816
     988      24.4080      48.6594
     989      24.2706      47.9433
     990      24.3751      47.6127
     991      24.4963      48.4906
     992      24.3331      47.8057
     993      24.3861      47.4094
     994      24.3954      47.6054
     995      24.4746      47.4766
     996      24.3719      48.6771
     997      24.4233      47.4371
     998      24.2963      47.5184
     999      24.1551      47.1891
    1000      24.2247      47.4200
