#Frame            RoG     RoG[Max]
     744      24.0360      44.1113
     745      23.9784      44.2392
     746      23.8513      44.1039
     747      23.9905      44.0083
     748      24.0991      45.0158
     749      24.0449      44.8840
     750      24.0992      44.9162
     751      24.0080      44.7648
     752      24.1241      44.5615
     753      24.1748      44.4314
     754      24.1049      44.7244
     755      24.0661      44.1199
     756      24.0615      44.3930
     757      24.0922      44.4858
     758      24.1164      44.0158
     759      24.1175      44.4776
     760      24.1751      44.4163
     761      24.1294      43.4444
     762      24.1397      44.1833
     763      24.1949      43.9458
     764      24.0889      43.2293
     765      24.0960      43.8105
     766      24.1217      43.8238
     767      24.0768      44.4615
     768      24.0420      44.1822
     769      24.1250      45.7623
     770      24.1663      45.4478
     771      24.0330      44.2950
     772      24.1591      45.3504
     773      24.1122      45.4572
     774      24.2224      44.9407
     775      24.1480      44.1825
     776      24.1784      44.0332
     777      24.1952      43.4932
     778      24.1269      43.5107
     779      24.1795      43.5304
     780      24.0992      44.1313
     781      24.2040      44.0832
     782      24.0993      43.6517
     783      24.2222      44.8794
     784      24.0717      44.5531
     785      24.0817      44.9845
     786      24.0490      44.4306
     787      24.0262      44.1884
     788      23.9544      44.3230
     789      24.0587      44.0776
     790      24.0197      44.0483
     791      24.0953      44.4659
     792      24.1284      43.8921
     793      24.1921      44.3063
     794      23.9697      44.1202
     795      24.0747      44.4883
     796      24.0594      45.2398
     797      24.0795      44.7408
     798      24.1078      44.5491
     799      24.0668      44.3553
     800      24.0997      44.4007
     801      24.1354      44.7274
     802      24.1480      45.0820
     803      23.9929      44.1415
     804      23.8719      43.6264
     805      23.9375      43.9179
     806      23.9492      43.2807
     807      23.9978      44.5612
     808      23.9544      44.4668
     809      23.9331      44.8914
     810      24.0254      44.9829
     811      23.9168      44.6756
     812      23.8189      43.7452
     813      23.8257      43.3735
     814      23.8593      43.2693
     815      23.9493      43.8269
     816      23.9430      43.5661
     817      24.0094      44.6714
     818      24.0898      44.6345
     819      24.0813      44.9092
     820      24.1572      44.3740
     821      24.1193      44.7730
     822      24.0065      44.2165
     823      24.0964      44.7817
     824      24.1171      44.6209
     825      24.0761      44.2749
     826      24.1988      44.8996
     827      24.1833      45.3041
     828      24.2237      45.5635
     829      24.2196      44.4638
     830      24.1419      44.5681
     831      24.1939      44.7324
     832      24.2381      44.4625
     833      24.1332      44.3157
     834      24.1583      44.6841
     835      23.9550      43.4137
     836      23.9423      43.9047
     837      24.1095      44.4641
     838      24.0109      43.9041
     839      24.0750      44.1268
     840      24.0424      43.6294
     841      24.0040      44.4129
     842      24.0292      45.0318
     843      23.9701      45.3707
     844      24.0709      44.0562
     845      24.0585      44.5442
     846      24.0603      44.5017
     847      24.0524      44.5115
     848      24.0787      44.6559
     849      24.1829      45.0820
     850      23.9546      43.8476
     851      24.0812      44.7107
     852      24.0320      44.9095
     853      23.9339      45.4248
     854      24.0573      44.9282
     855      23.9496      45.3422
     856      23.9386      44.8068
     857      23.9501      44.8635
     858      23.9607      45.2224
     859      23.9825      45.1826
     860      23.9307      44.4099
     861      23.9529      44.4349
     862      23.8720      43.9308
     863      24.0054      44.2077
     864      24.0649      44.7546
     865      24.0601      44.2427
     866      24.1581      44.5385
     867      24.0885      45.0625
     868      24.0824      45.2261
     869      24.1748      45.4201
     870      24.0874      45.5524
     871      23.9750      45.4293
     872      24.0614      45.5978
     873      24.0163      44.9101
     874      23.9237      45.0228
     875      23.8467      44.8148
     876      23.9063      44.6522
     877      23.9304      44.8550
     878      23.9109      45.0694
     879      23.8605      44.2236
     880      23.8965      45.0951
     881      23.9269      45.4101
     882      23.8519      45.2692
     883      23.9526      45.3211
     884      23.9008      46.0384
     885      24.0075      46.0780
     886      24.0338      45.9418
     887      23.9767      46.0495
     888      24.1199      46.1800
